rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,total_downloads,adjusted_total_downloads,caretaken_asset_count
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,52040,52040,0
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,7492,7492,0
3,rslurry,slurry,https://github.com/rslurry,35,33,2,22131,22131,0
4,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,9750,9750,0
5,kimth9,kimth9,https://github.com/kimth9,20,19,1,8949,8949,0
6,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,19,17,2,13556,13556,0
7,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,4040,4040,0
8,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,10475,10475,0
9,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,1723,1721,0
10,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,13279,13279,0
11,nzh0172,naz,https://github.com/nzh0172,8,5,3,7020,7020,0
12,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,14504,14504,0
13,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,4456,4456,0
14,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,1662,1662,0
15,BarKuperman,BarKuperman,https://github.com/BarKuperman,5,2,3,8920,8920,9
16,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,6756,6756,0
17,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,4062,4062,0
18,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,3,0,3,114,114,0
19,martig7,martig7,https://github.com/martig7,2,0,2,10154,10154,0
20,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,2582,2582,0
21,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,1527,1527,0
22,IMB11,IMB11,https://github.com/IMB11,2,0,2,1288,1288,0
23,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,2,2,0,1040,1040,0
24,bean1322,bean1322,https://github.com/bean1322,2,2,0,183,183,0
25,holapapie-png,holapapie-png,https://github.com/holapapie-png,2,2,0,46,46,0
26,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,14278,14278,0
27,jelegend,jelegend,https://github.com/jelegend,1,1,0,3769,3769,0
28,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,3716,3716,0
29,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,2796,2796,0
30,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,2612,2612,0
31,pendulating,pendulating,https://github.com/pendulating,1,0,1,2201,2201,0
32,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,1892,1892,0
33,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,1363,1363,0
34,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,1223,1223,0
35,bquelhas,bquelhas,https://github.com/bquelhas,1,1,0,880,880,0
36,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,506,506,0
37,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,0,380,380,0
38,cromstar,cromstar,https://github.com/cromstar,1,1,0,373,373,0
39,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,371,371,0
40,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,314,314,0
41,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,0,1,305,305,0
42,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,264,264,0
43,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,251,251,0
44,arniber21,arniber21,https://github.com/arniber21,1,0,1,245,245,0
45,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,0,1,215,215,0
46,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,212,212,0
47,xoaninc,xoaninc,https://github.com/xoaninc,1,0,1,176,176,0
48,giannons46,giannons46,https://github.com/giannons46,1,1,0,173,173,0
49,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,157,157,0
50,hernang87,hernang87,https://github.com/hernang87,1,1,0,145,145,0
51,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,0,145,145,0
52,lexenygma,lexenygma,https://github.com/lexenygma,1,1,0,131,131,0
53,JcPires,JcPires,https://github.com/JcPires,1,1,0,94,94,1
54,matematysek,matematysek,https://github.com/matematysek,1,0,1,23,23,0
55,akospanov,akospanov,https://github.com/akospanov,1,1,0,0,0,0
56,Meszier83,Meszier83,https://github.com/Meszier83,1,1,0,0,0,0
57,Capitao-piolho,Miguel Sousa,https://github.com/Capitao-piolho,0,0,0,0,0,1
58,devenperez,devenperez,https://github.com/devenperez,0,0,0,0,0,8
59,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,0,0,0,0,0,1
