rank,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,asset_count,map_count,mod_count
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,52061,52061,132,131,1
2,rslurry,slurry,https://github.com/rslurry,22135,22135,35,33,2
3,Valdotorium,Valdotorium,https://github.com/Valdotorium,14508,14508,7,4,3
4,stefanorigano,Steno,https://github.com/stefanorigano,13939,13939,1,0,1
5,crumpetime,muffintime,https://github.com/crumpetime,13276,13276,9,8,1
6,BarKuperman,BarKuperman,https://github.com/BarKuperman,11389,11389,14,11,3
7,devenperez,devenperez,https://github.com/devenperez,11097,11097,8,8,0
8,Kronifer,Kronifer,https://github.com/Kronifer,10473,10473,10,10,0
9,martig7,martig7,https://github.com/martig7,10158,10158,2,0,2
10,Maximilian284,max02,https://github.com/Maximilian284,9750,9750,21,21,0
11,kimth9,kimth9,https://github.com/kimth9,8599,8599,20,19,1
12,pierreggt,pierreggt,https://github.com/pierreggt,7494,7494,77,77,0
13,nzh0172,naz,https://github.com/nzh0172,7023,7023,8,5,3
14,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,6764,6764,5,0,5
15,ryandicicco,ryandicicco,https://github.com/ryandicicco,4456,4456,7,7,0
16,DanielD1909,DanielD1909,https://github.com/DanielD1909,3934,3934,4,1,3
17,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,3882,3882,13,10,3
18,jelegend,jelegend,https://github.com/jelegend,3769,3769,1,1,0
19,Bobby-047,Bobby-047,https://github.com/Bobby-047,3717,3717,1,0,1
20,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,2797,2797,1,0,1
21,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,2615,2615,1,0,1
22,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2585,2585,2,0,2
23,pendulating,pendulating,https://github.com/pendulating,2204,2204,1,0,1
24,Mpfk,Mpfk,https://github.com/Mpfk,1894,1894,1,0,1
25,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1715,1713,10,10,0
26,soccerjonj,soccerjonj,https://github.com/soccerjonj,1648,1648,7,7,0
27,TransitCore,TransitCore,https://github.com/TransitCore,1529,1529,2,0,2
28,WillBarouch,WillBarouch,https://github.com/WillBarouch,1364,1364,1,1,0
29,IMB11,IMB11,https://github.com/IMB11,1262,1262,2,0,2
30,rexmhall09,rexmhall09,https://github.com/rexmhall09,1224,1224,1,0,1
31,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1040,1040,2,2,0
32,Capitao-piolho,Miguel Sousa,https://github.com/Capitao-piolho,612,612,1,1,0
33,Rmerr1,Rmerr1,https://github.com/Rmerr1,506,506,1,1,0
34,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,380,380,1,1,0
35,cromstar,cromstar,https://github.com/cromstar,375,375,1,1,0
36,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,371,371,1,1,0
37,metatablestudios,metatablestudios,https://github.com/metatablestudios,314,314,1,1,0
38,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,306,306,1,0,1
39,bquelhas,bquelhas,https://github.com/bquelhas,268,268,1,1,0
40,danielloong714,danielloong714,https://github.com/danielloong714,267,267,1,0,1
41,Tesarzh,Tesarzh,https://github.com/Tesarzh,252,252,1,0,1
42,arniber21,arniber21,https://github.com/arniber21,247,247,1,0,1
43,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,216,216,1,0,1
44,TathanDev,TathanDev,https://github.com/TathanDev,213,213,1,0,1
45,bean1322,bean1322,https://github.com/bean1322,183,183,2,2,0
46,xoaninc,xoaninc,https://github.com/xoaninc,177,177,1,0,1
47,giannons46,giannons46,https://github.com/giannons46,173,173,1,1,0
48,Phineapoo,Phineapoo,https://github.com/Phineapoo,157,157,1,1,0
49,hernang87,hernang87,https://github.com/hernang87,145,145,1,1,0
50,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,145,145,1,1,0
51,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,141,141,1,0,1
52,lexenygma,lexenygma,https://github.com/lexenygma,131,131,1,1,0
53,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,118,118,3,0,3
54,JcPires,JcPires,https://github.com/JcPires,94,94,1,1,0
55,holapapie-png,holapapie-png,https://github.com/holapapie-png,54,54,2,2,0
56,matematysek,matematysek,https://github.com/matematysek,23,23,1,0,1
57,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,0,0,2,0,2
58,akospanov,akospanov,https://github.com/akospanov,0,0,1,1,0
59,Meszier83,Meszier83,https://github.com/Meszier83,0,0,1,1,0
