rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,5109,5109,51752,51752,46643,46643,snapshot_2026_09_09.json,snapshot_2026_08_26.json,4790,4790,319,319
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,2604,2604,7424,7424,4820,4820,snapshot_2026_09_09.json,snapshot_2026_08_26.json,2604,2604,0,0
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,1023,1023,11322,11322,10299,10299,snapshot_2026_09_09.json,snapshot_2026_08_26.json,428,428,595,595
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,966,966,14458,14458,13492,13492,snapshot_2026_09_09.json,snapshot_2026_08_26.json,327,327,639,639
5,martig7,martig7,https://github.com/martig7,2,0,2,801,801,10108,10108,9307,9307,snapshot_2026_09_09.json,snapshot_2026_08_26.json,0,0,801,801
6,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,718,718,13238,13238,12520,12520,snapshot_2026_09_09.json,snapshot_2026_08_26.json,267,267,451,451
7,rslurry,slurry,https://github.com/rslurry,35,33,2,669,669,22085,22085,21416,21416,snapshot_2026_09_09.json,snapshot_2026_08_26.json,495,495,174,174
8,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,563,563,9715,9715,9152,9152,snapshot_2026_09_09.json,snapshot_2026_08_26.json,563,563,0,0
9,devenperez,devenperez,https://github.com/devenperez,8,8,0,548,548,11038,11038,10490,10490,snapshot_2026_09_09.json,snapshot_2026_08_26.json,548,548,0,0
10,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,494,494,6717,6717,6223,6223,snapshot_2026_09_09.json,snapshot_2026_08_26.json,0,0,494,494
11,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,457,457,10443,10443,9986,9986,snapshot_2026_09_09.json,snapshot_2026_08_26.json,457,457,0,0
12,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,415,415,2565,2565,2150,2150,snapshot_2026_09_09.json,snapshot_2026_08_26.json,0,0,415,415
