rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,2392,2392,51109,51109,48717,48717,snapshot_2026_09_07.json,snapshot_2026_08_31.json
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,1921,1921,7233,7233,5312,5312,snapshot_2026_09_07.json,snapshot_2026_08_31.json
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,557,557,11218,11218,10661,10661,snapshot_2026_09_07.json,snapshot_2026_08_31.json
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,525,525,14357,14357,13832,13832,snapshot_2026_09_07.json,snapshot_2026_08_31.json
5,martig7,martig7,https://github.com/martig7,2,0,2,456,456,10038,10038,9582,9582,snapshot_2026_09_07.json,snapshot_2026_08_31.json
6,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,421,421,13168,13168,12747,12747,snapshot_2026_09_07.json,snapshot_2026_08_31.json
7,rslurry,slurry,https://github.com/rslurry,35,33,2,368,368,22016,22016,21648,21648,snapshot_2026_09_07.json,snapshot_2026_08_31.json
8,devenperez,devenperez,https://github.com/devenperez,8,8,0,332,332,10974,10974,10642,10642,snapshot_2026_09_07.json,snapshot_2026_08_31.json
9,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,311,311,9648,9648,9337,9337,snapshot_2026_09_07.json,snapshot_2026_08_31.json
10,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,259,259,6664,6664,6405,6405,snapshot_2026_09_07.json,snapshot_2026_08_31.json
11,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,252,252,10415,10415,10163,10163,snapshot_2026_09_07.json,snapshot_2026_08_31.json
12,nzh0172,naz,https://github.com/nzh0172,8,5,3,216,216,6962,6962,6746,6746,snapshot_2026_09_07.json,snapshot_2026_08_31.json
13,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,198,198,2532,2532,2334,2334,snapshot_2026_09_07.json,snapshot_2026_08_31.json
14,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,194,194,485,485,291,291,snapshot_2026_09_07.json,snapshot_2026_08_31.json
15,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,193,193,1184,1184,991,991,snapshot_2026_09_07.json,snapshot_2026_08_31.json
16,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,179,179,3994,3994,3815,3815,snapshot_2026_09_07.json,snapshot_2026_08_31.json
17,pendulating,pendulating,https://github.com/pendulating,1,0,1,134,134,2166,2166,2032,2032,snapshot_2026_09_07.json,snapshot_2026_08_31.json
18,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,107,107,1727,1727,1620,1620,snapshot_2026_09_07.json,snapshot_2026_08_31.json
19,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,105,105,4423,4423,4318,4318,snapshot_2026_09_07.json,snapshot_2026_08_31.json
20,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,95,95,3878,3878,3783,3783,snapshot_2026_09_07.json,snapshot_2026_08_31.json
21,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,2,0,2,94,94,94,94,0,0,snapshot_2026_09_07.json,snapshot_2026_08_31.json
22,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,85,85,3695,3695,3610,3610,snapshot_2026_09_07.json,snapshot_2026_08_31.json
23,xoaninc,xoaninc,https://github.com/xoaninc,1,0,1,85,85,166,166,81,81,snapshot_2026_09_07.json,snapshot_2026_08_31.json
24,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,72,72,224,224,152,152,snapshot_2026_09_07.json,snapshot_2026_08_31.json
25,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,1,0,1,67,67,67,67,0,0,snapshot_2026_09_07.json,snapshot_2026_08_31.json
26,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,0,1,62,62,211,211,149,149,snapshot_2026_09_07.json,snapshot_2026_08_31.json
27,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,61,61,2780,2780,2719,2719,snapshot_2026_09_07.json,snapshot_2026_08_31.json
28,kimth9,kimth9,https://github.com/kimth9,20,19,1,60,60,8558,8558,8498,8498,snapshot_2026_09_07.json,snapshot_2026_08_31.json
29,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,57,57,2597,2597,2540,2540,snapshot_2026_09_07.json,snapshot_2026_08_31.json
30,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,51,51,1882,1882,1831,1831,snapshot_2026_09_07.json,snapshot_2026_08_31.json
31,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,51,51,1664,1664,1613,1613,snapshot_2026_09_07.json,snapshot_2026_08_31.json
32,cromstar,cromstar,https://github.com/cromstar,1,1,0,50,50,363,363,313,313,snapshot_2026_09_07.json,snapshot_2026_08_31.json
33,jelegend,jelegend,https://github.com/jelegend,1,1,0,49,49,3764,3764,3715,3715,snapshot_2026_09_07.json,snapshot_2026_08_31.json
34,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,40,40,1511,1511,1471,1471,snapshot_2026_09_07.json,snapshot_2026_08_31.json
35,arniber21,arniber21,https://github.com/arniber21,1,0,1,38,38,244,244,206,206,snapshot_2026_09_07.json,snapshot_2026_08_31.json
36,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,34,34,1349,1349,1315,1315,snapshot_2026_09_07.json,snapshot_2026_08_31.json
37,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,2,2,0,34,34,1033,1033,999,999,snapshot_2026_09_07.json,snapshot_2026_08_31.json
38,bean1322,bean1322,https://github.com/bean1322,2,2,0,22,22,187,187,165,165,snapshot_2026_09_07.json,snapshot_2026_08_31.json
39,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,0,1,16,16,293,293,277,277,snapshot_2026_09_07.json,snapshot_2026_08_31.json
40,lexenygma,lexenygma,https://github.com/lexenygma,1,1,0,16,16,126,126,110,110,snapshot_2026_09_07.json,snapshot_2026_08_31.json
41,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,15,15,245,245,230,230,snapshot_2026_09_07.json,snapshot_2026_08_31.json
42,Capitao-piolho,Miguel Sousa,https://github.com/Capitao-piolho,1,1,0,14,14,607,607,593,593,snapshot_2026_09_07.json,snapshot_2026_08_31.json
43,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,12,12,368,368,356,356,snapshot_2026_09_07.json,snapshot_2026_08_31.json
44,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,11,11,159,159,148,148,snapshot_2026_09_07.json,snapshot_2026_08_31.json
45,giannons46,giannons46,https://github.com/giannons46,1,1,0,10,10,169,169,159,159,snapshot_2026_09_07.json,snapshot_2026_08_31.json
46,hernang87,hernang87,https://github.com/hernang87,1,1,0,8,8,142,142,134,134,snapshot_2026_09_07.json,snapshot_2026_08_31.json
47,JcPires,JcPires,https://github.com/JcPires,1,1,0,8,8,93,93,85,85,snapshot_2026_09_07.json,snapshot_2026_08_31.json
48,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,0,4,4,144,144,140,140,snapshot_2026_09_07.json,snapshot_2026_08_31.json
49,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,3,3,314,314,311,311,snapshot_2026_09_07.json,snapshot_2026_08_31.json
50,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,3,3,212,212,209,209,snapshot_2026_09_07.json,snapshot_2026_08_31.json
