rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,14278,14278,snapshot_2026_09_09.json
2,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,8150,8150,snapshot_2026_09_09.json
3,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,5988,5988,snapshot_2026_09_09.json
4,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,5419,5419,snapshot_2026_09_09.json
5,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,5348,5348,snapshot_2026_09_09.json
6,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,4120,4120,snapshot_2026_09_09.json
7,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,3806,3806,snapshot_2026_09_09.json
8,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,3786,3786,snapshot_2026_09_09.json
9,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,3767,3767,snapshot_2026_09_09.json
10,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,3709,3709,snapshot_2026_09_09.json
11,map,toronto,Toronto,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,3309,3309,snapshot_2026_09_09.json
12,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,3220,3220,snapshot_2026_09_09.json
13,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,3048,3048,snapshot_2026_09_09.json
14,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,2903,2903,snapshot_2026_09_09.json
15,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2862,2862,snapshot_2026_09_09.json
16,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,2791,2791,snapshot_2026_09_09.json
17,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,2604,2604,snapshot_2026_09_09.json
18,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,2573,2573,snapshot_2026_09_09.json
19,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,2551,2551,snapshot_2026_09_09.json
20,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,2538,2538,snapshot_2026_09_09.json
21,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,2515,2515,snapshot_2026_09_09.json
22,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2512,2512,snapshot_2026_09_09.json
23,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,2460,2460,snapshot_2026_09_09.json
24,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,2433,2433,snapshot_2026_09_09.json
25,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,2326,2326,snapshot_2026_09_09.json
26,map,montreal,Montreal,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,2301,2301,snapshot_2026_09_09.json
27,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,2193,2193,snapshot_2026_09_09.json
28,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,2189,2189,snapshot_2026_09_09.json
29,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2152,2152,snapshot_2026_09_09.json
30,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,2111,2111,snapshot_2026_09_09.json
31,map,vancouver,Vancouver,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,1936,1936,snapshot_2026_09_09.json
32,mod,missed-connections,Missed Connections,rslurry,slurry,https://github.com/rslurry,1890,1890,snapshot_2026_09_09.json
33,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,1885,1885,snapshot_2026_09_09.json
34,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1860,1860,snapshot_2026_09_09.json
35,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,1827,1827,snapshot_2026_09_09.json
36,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,1803,1803,snapshot_2026_09_09.json
