rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,1267,1267,4124,4124,2857,2857,snapshot_2026_09_09.json,snapshot_2026_08_10.json
2,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,1129,1129,14278,14278,13149,13149,snapshot_2026_09_09.json,snapshot_2026_08_10.json
3,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,1117,1117,5424,5424,4307,4307,snapshot_2026_09_09.json,snapshot_2026_08_10.json
4,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,1070,1070,8155,8155,7085,7085,snapshot_2026_09_09.json,snapshot_2026_08_10.json
5,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1005,1005,5350,5350,4345,4345,snapshot_2026_09_09.json,snapshot_2026_08_10.json
6,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,928,928,5994,5994,5066,5066,snapshot_2026_09_09.json,snapshot_2026_08_10.json
7,mod,auto-lines,Auto Lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,754,754,1402,1402,648,648,snapshot_2026_09_09.json,snapshot_2026_08_10.json
8,mod,subway-builder-performance,Subway Builder Performance,rexmhall09,rexmhall09,https://github.com/rexmhall09,752,752,1208,1208,456,456,snapshot_2026_09_09.json,snapshot_2026_08_10.json
9,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,681,681,2152,2152,1471,1471,snapshot_2026_09_09.json,snapshot_2026_08_10.json
10,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,669,669,2192,2192,1523,1523,snapshot_2026_09_09.json,snapshot_2026_08_10.json
11,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,615,615,1642,1642,1027,1027,snapshot_2026_09_09.json,snapshot_2026_08_10.json
12,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,597,597,2512,2512,1915,1915,snapshot_2026_09_09.json,snapshot_2026_08_10.json
13,map,yukina-tokyo,東京 (Tōkyō),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,590,590,797,797,207,207,snapshot_2026_09_09.json,snapshot_2026_08_10.json
14,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,585,585,2863,2863,2278,2278,snapshot_2026_09_09.json,snapshot_2026_08_10.json
15,mod,missed-connections,Missed Connections,rslurry,slurry,https://github.com/rslurry,581,581,1891,1891,1310,1310,snapshot_2026_09_09.json,snapshot_2026_08_10.json
16,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,580,580,3806,3806,3226,3226,snapshot_2026_09_09.json,snapshot_2026_08_10.json
17,mod,dantrains-abridged,Dan Trains Abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,509,509,832,832,323,323,snapshot_2026_09_09.json,snapshot_2026_08_10.json
18,map,vienna,Vienna,Rmerr1,Rmerr1,https://github.com/Rmerr1,496,496,496,496,0,0,snapshot_2026_09_09.json,snapshot_2026_08_10.json
19,map,yukina-keihanshin,京阪神 (Keihanshin),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,482,482,1232,1232,750,750,snapshot_2026_09_09.json,snapshot_2026_08_10.json
20,map,paris-ile-de-france,Paris - Ile de France,pierreggt,pierreggt,https://github.com/pierreggt,470,470,1524,1524,1054,1054,snapshot_2026_09_09.json,snapshot_2026_08_10.json
21,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,458,458,2326,2326,1868,1868,snapshot_2026_09_09.json,snapshot_2026_08_10.json
22,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,452,452,2908,2908,2456,2456,snapshot_2026_09_09.json,snapshot_2026_08_10.json
23,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,442,442,2540,2540,2098,2098,snapshot_2026_09_09.json,snapshot_2026_08_10.json
24,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,433,433,3222,3222,2789,2789,snapshot_2026_09_09.json,snapshot_2026_08_10.json
