rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,74,618,618,19414,19414,18796,18796,snapshot_2026_09_10.json,snapshot_2026_09_07.json,618,618,0,0
2,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,387,387,8515,8515,8128,8128,snapshot_2026_09_10.json,snapshot_2026_09_07.json,387,387,0,0
3,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,207,207,22647,22647,22440,22440,snapshot_2026_09_10.json,snapshot_2026_09_07.json,207,207,0,0
4,pierreggt/subwaybuilder-maps-deutschland,subwaybuilder-maps-deutschland,pierreggt,pierreggt,https://github.com/pierreggt,20,145,145,1420,1420,1275,1275,snapshot_2026_09_10.json,snapshot_2026_09_07.json,145,145,0,0
5,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,102,102,11076,11076,10974,10974,snapshot_2026_09_10.json,snapshot_2026_09_07.json,102,102,0,0
6,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,90,90,20006,20006,19916,19916,snapshot_2026_09_10.json,snapshot_2026_09_07.json,90,90,0,0
7,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,75,75,8178,8178,8103,8103,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,75,75
8,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,71,71,1142,1142,1071,1071,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,71,71
9,barkuperman/subwaybuilder-au-nz-maps,subwaybuilder-au-nz-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,9,62,62,2451,2451,2389,2389,snapshot_2026_09_10.json,snapshot_2026_09_07.json,62,62,0,0
10,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,61,61,6015,6015,5954,5954,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,61,61
11,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,60,60,5437,5437,5377,5377,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,60,60
12,danield1909/dantrains-abridged,dantrains-abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,58,58,849,849,791,791,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,58,58
13,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,7,54,54,4875,4875,4821,4821,snapshot_2026_09_10.json,snapshot_2026_09_07.json,54,54,0,0
14,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,54,54,4138,4138,4084,4084,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,54,54
15,pierreggt/subwaybuilder-maps-france,subwaybuilder-maps-france,pierreggt,pierreggt,https://github.com/pierreggt,35,54,54,4042,4042,3988,3988,snapshot_2026_09_10.json,snapshot_2026_09_07.json,54,54,0,0
16,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,50,50,5223,5223,5173,5173,snapshot_2026_09_10.json,snapshot_2026_09_07.json,50,50,0,0
17,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,50,50,4606,4606,4556,4556,snapshot_2026_09_10.json,snapshot_2026_09_07.json,50,50,0,0
