rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,74,1549,1549,18796,18796,17247,17247,snapshot_2026_09_07.json,snapshot_2026_08_31.json
2,pierreggt/subwaybuilder-maps-deutschland,subwaybuilder-maps-deutschland,pierreggt,pierreggt,https://github.com/pierreggt,20,1275,1275,1275,1275,0,0,snapshot_2026_09_07.json,snapshot_2026_08_31.json
3,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,499,499,22440,22440,21941,21941,snapshot_2026_09_07.json,snapshot_2026_08_31.json
4,pierreggt/subwaybuilder-maps-france,subwaybuilder-maps-france,pierreggt,pierreggt,https://github.com/pierreggt,35,405,405,3988,3988,3583,3583,snapshot_2026_09_07.json,snapshot_2026_08_31.json
5,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,332,332,10974,10974,10642,10642,snapshot_2026_09_07.json,snapshot_2026_08_31.json
6,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,275,275,19916,19916,19641,19641,snapshot_2026_09_07.json,snapshot_2026_08_31.json
7,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,251,251,8103,8103,7852,7852,snapshot_2026_09_07.json,snapshot_2026_08_31.json
8,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,235,235,4084,4084,3849,3849,snapshot_2026_09_07.json,snapshot_2026_08_31.json
9,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,221,221,5954,5954,5733,5733,snapshot_2026_09_07.json,snapshot_2026_08_31.json
10,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,207,207,5377,5377,5170,5170,snapshot_2026_09_07.json,snapshot_2026_08_31.json
